file,active_slots,request_index,repeat,gpu_count,gpu_models,cuda_visible_devices,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_000256.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",268,128,11587.959,23.127454972873135,18392.842,6.904860053710025,34304.93903160095
ctx_000512.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",541,128,20996.681,25.765977013224138,19792.318,6.416630937316185,41942.140102386475
ctx_001024.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",1082,128,40969.699,26.409762004841674,23645.096,5.371092593576274,65888.27872276306
ctx_002048.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",2330,128,87421.417,26.65250781739216,21694.413,5.854041775640576,110607.28025436401
ctx_004096.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",4288,128,158405.356,27.069791756283795,20451.628,6.209774595939257,180782.3839187622
ctx_008192.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",8853,128,329629.361,26.857437617639896,18707.813,6.78860751922205,355001.75428390503
ctx_016384.txt,1,1,1,12,NVIDIA P104-100 x12,"0,1,2,3,4,5,6,7,8,9,10,11",17670,128,669348.616,26.398799635375653,24194.881,5.249044208979576,697971.7073440552
