file,active_slots,request_index,repeat,gpu_count,gpu_models,cuda_visible_devices,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_000256.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",268,128,3552.305,75.44397229404571,9666.056,13.138761041732016,17558.40253829956
ctx_000512.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",541,128,4162.37,129.97402921893055,9538.295,13.314748600247738,14849.067449569702
ctx_001024.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",1082,128,6021.536,179.6883718705659,11860.9,10.707450530735443,19820.595026016235
ctx_002048.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",2330,128,9164.95,254.22942842023141,9183.331,13.82940460275253,20353.039979934692
ctx_004096.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",4288,128,14961.662,286.59917594716416,9568.073,13.273310101208466,26739.697456359863
ctx_008192.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",8853,128,27911.224,317.1842266752615,8957.89,14.177445804759827,43782.91702270508
ctx_016384.txt,1,1,1,6,NVIDIA P104-100 x6,"0,1,2,3,4,5",17670,128,59145.583,298.7543465418204,9975.964,12.73059926840153,73580.48343658447
